flow_id,parameter,consistent_value,segment,segment_length
G,cookies[3].value,eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjIsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ1c2VyQGV4YW1wbGUuY29tIiwicGFzc3dvcmQiOiI0ODJjODExZGE1ZDViNGJjNmQ0OTdmZmE5ODQ5MWUzOCIsInJvbGUiOiJjdXN0b21lciIsImRlbHV4ZVRva2VuIjoiIiwibGFzdExvZ2luSXAiOiJ1bmRlZmluZWQiLCJwcm9maWxlSW1hZ2UiOiIvYXNzZXRzL3B1YmxpYy9pbWFnZXMvdXBsb2Fkcy9kZWZhdWx0LnN2ZyIsInRvdHBTZWNyZXQiOiIiLCJpc0FjdGl2ZSI6dHJ1ZSwiY3JlYXRlZEF0IjoiMjAyNS0wMy0wNSAwOTowMjo0Ni44ODAgKzAwOjAwIiwidXBkYXRlZEF0IjoiMjAyNS0wMy0wNSAxMDowMDoxOC41MjkgKzAwOjAwIiwiZGVsZXRlZEF0IjpudWxsfSwiaWF0IjoxNzQxMTc3NDUyfQ.D5Z-mrmlmjY1MtLt3fEgLrgjajHSDppjB-iBED7WoHQMVBkvOCKXMsyoB_k19XhTHTDzPPlEhu_gZMgHowklLelbEwPHg_p632cOKhN9zrO9wTFE0RGhkpsevphuDzUT3gVouuEgwOkT7qTcw2XO22sGcgazelHYUNzuGMrDx7w,3 to 28,26
G,cookies[1].secure,False,1 to 28,28
G,session_data.deliveryMethodId,1,19 to 27,9
G,cookies[0].secure,False,1 to 28,28
G,cookies[3].path,/,3 to 28,26
G,cookies[2].httpOnly,False,3 to 28,26
G,cookies[3].domain,slaying.ddns.net,3 to 28,26
G,cookies[0].domain,slaying.ddns.net,1 to 28,28
G,local_storage.token,eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjIsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ1c2VyQGV4YW1wbGUuY29tIiwicGFzc3dvcmQiOiI0ODJjODExZGE1ZDViNGJjNmQ0OTdmZmE5ODQ5MWUzOCIsInJvbGUiOiJjdXN0b21lciIsImRlbHV4ZVRva2VuIjoiIiwibGFzdExvZ2luSXAiOiJ1bmRlZmluZWQiLCJwcm9maWxlSW1hZ2UiOiIvYXNzZXRzL3B1YmxpYy9pbWFnZXMvdXBsb2Fkcy9kZWZhdWx0LnN2ZyIsInRvdHBTZWNyZXQiOiIiLCJpc0FjdGl2ZSI6dHJ1ZSwiY3JlYXRlZEF0IjoiMjAyNS0wMy0wNSAwOTowMjo0Ni44ODAgKzAwOjAwIiwidXBkYXRlZEF0IjoiMjAyNS0wMy0wNSAxMDowMDoxOC41MjkgKzAwOjAwIiwiZGVsZXRlZEF0IjpudWxsfSwiaWF0IjoxNzQxMTc3NDUyfQ.D5Z-mrmlmjY1MtLt3fEgLrgjajHSDppjB-iBED7WoHQMVBkvOCKXMsyoB_k19XhTHTDzPPlEhu_gZMgHowklLelbEwPHg_p632cOKhN9zrO9wTFE0RGhkpsevphuDzUT3gVouuEgwOkT7qTcw2XO22sGcgazelHYUNzuGMrDx7w,3 to 28,26
G,cookies[3].secure,False,3 to 28,26
G,cookies[1].value,dismiss,1 to 28,28
G,cookies[1].path,/,1 to 28,28
G,cookies[0].path,/,1 to 28,28
G,cookies[1].httpOnly,False,1 to 28,28
G,cookies[1].sameSite,Lax,1 to 28,28
G,cookies[0].expires,1772713446.0,1 to 28,28
G,session_data.itemTotal,13.97,5 to 26,22
G,cookies[0].sameSite,Lax,1 to 28,28
G,session_data.addressId,11,17 to 27,11
G,cookies[2].name,cookieconsent_status,3 to 28,26
G,cookies[1].expires,1772713447.0,1 to 28,28
G,cookies[3].name,token,3 to 28,26
G,session_data.paymentId,17,27 to 27,1
G,cookies[2].value,dismiss,3 to 28,26
G,cookies[3].sameSite,Lax,3 to 28,26
G,cookies[2].secure,False,3 to 28,26
G,cookies[0].name,language,1 to 28,28
G,cookies[2].path,/,3 to 28,26
G,cookies[1].name,welcomebanner_status,1 to 28,28
G,cookies[1].domain,slaying.ddns.net,1 to 28,28
G,cookies[0].httpOnly,False,1 to 28,28
G,cookies[3].expires,1741206251.0,3 to 28,26
G,cookies[3].httpOnly,False,3 to 28,26
G,cookies[2].domain,slaying.ddns.net,3 to 28,26
H,cookies[0].value,en,1 to 8,8
H,session_data.bid,7,3 to 7,5
H,cookies[2].expires,1772713558.0,3 to 8,6
H,cookies[2].sameSite,Lax,3 to 8,6
H,cookies[3].value,eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjIsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ1c2VyQGV4YW1wbGUuY29tIiwicGFzc3dvcmQiOiI0ODJjODExZGE1ZDViNGJjNmQ0OTdmZmE5ODQ5MWUzOCIsInJvbGUiOiJjdXN0b21lciIsImRlbHV4ZVRva2VuIjoiIiwibGFzdExvZ2luSXAiOiJ1bmRlZmluZWQiLCJwcm9maWxlSW1hZ2UiOiIvYXNzZXRzL3B1YmxpYy9pbWFnZXMvdXBsb2Fkcy9kZWZhdWx0LnN2ZyIsInRvdHBTZWNyZXQiOiIiLCJpc0FjdGl2ZSI6dHJ1ZSwiY3JlYXRlZEF0IjoiMjAyNS0wMy0wNSAwOTowMjo0Ni44ODAgKzAwOjAwIiwidXBkYXRlZEF0IjoiMjAyNS0wMy0wNSAxMDowMDoxOC41MjkgKzAwOjAwIiwiZGVsZXRlZEF0IjpudWxsfSwiaWF0IjoxNzQxMTc3NTYxfQ.TFTk1Y9R0Z4lVJ541Q6R8Un-7Ou7r_pc0KL2x4U5Nk1zTqwyQ30HxoX_r1mhzCagRwQ1765598bja7pCLB1JAf5vagin-ewZYVsL6HqgO1uvcWIViRoK0HFK83zP6v9JyWmazdwJg9fKNJYcIINi19WHs-GwFdWmLFbR0NPjw3g,3 to 7,5
H,cookies[1].secure,False,3 to 8,6
H,cookies[0].secure,False,1 to 8,8
H,cookies[3].path,/,3 to 7,5
H,cookies[2].httpOnly,False,3 to 8,6
H,cookies[3].domain,slaying.ddns.net,3 to 7,5
H,cookies[0].domain,slaying.ddns.net,1 to 8,8
H,local_storage.token,eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjIsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ1c2VyQGV4YW1wbGUuY29tIiwicGFzc3dvcmQiOiI0ODJjODExZGE1ZDViNGJjNmQ0OTdmZmE5ODQ5MWUzOCIsInJvbGUiOiJjdXN0b21lciIsImRlbHV4ZVRva2VuIjoiIiwibGFzdExvZ2luSXAiOiJ1bmRlZmluZWQiLCJwcm9maWxlSW1hZ2UiOiIvYXNzZXRzL3B1YmxpYy9pbWFnZXMvdXBsb2Fkcy9kZWZhdWx0LnN2ZyIsInRvdHBTZWNyZXQiOiIiLCJpc0FjdGl2ZSI6dHJ1ZSwiY3JlYXRlZEF0IjoiMjAyNS0wMy0wNSAwOTowMjo0Ni44ODAgKzAwOjAwIiwidXBkYXRlZEF0IjoiMjAyNS0wMy0wNSAxMDowMDoxOC41MjkgKzAwOjAwIiwiZGVsZXRlZEF0IjpudWxsfSwiaWF0IjoxNzQxMTc3NTYxfQ.TFTk1Y9R0Z4lVJ541Q6R8Un-7Ou7r_pc0KL2x4U5Nk1zTqwyQ30HxoX_r1mhzCagRwQ1765598bja7pCLB1JAf5vagin-ewZYVsL6HqgO1uvcWIViRoK0HFK83zP6v9JyWmazdwJg9fKNJYcIINi19WHs-GwFdWmLFbR0NPjw3g,3 to 7,5
H,cookies[3].secure,False,3 to 7,5
H,cookies[1].value,dismiss,3 to 8,6
H,cookies[1].path,/,3 to 8,6
H,cookies[0].path,/,1 to 8,8
H,cookies[1].httpOnly,False,3 to 8,6
H,cookies[1].sameSite,Lax,3 to 8,6
H,cookies[0].expires,1772713555.0,1 to 8,8
H,cookies[0].sameSite,Lax,1 to 8,8
H,cookies[2].name,cookieconsent_status,3 to 8,6
H,cookies[1].expires,1772713557.0,3 to 8,6
H,cookies[3].name,token,3 to 7,5
H,cookies[2].value,dismiss,3 to 8,6
H,cookies[3].sameSite,Lax,3 to 7,5
H,cookies[2].secure,False,3 to 8,6
H,cookies[0].name,language,1 to 8,8
H,cookies[2].path,/,3 to 8,6
H,cookies[1].name,welcomebanner_status,3 to 8,6
H,cookies[1].domain,slaying.ddns.net,3 to 8,6
H,cookies[0].httpOnly,False,1 to 8,8
H,cookies[3].expires,1741206359.0,3 to 7,5
H,cookies[3].httpOnly,False,3 to 7,5
H,cookies[2].domain,slaying.ddns.net,3 to 8,6
I,cookies[0].value,en,1 to 9,9
I,session_data.bid,7,3 to 9,7
I,cookies[2].expires,1772713632.0,3 to 9,7
I,cookies[2].sameSite,Lax,3 to 9,7
I,cookies[3].value,eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjIsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ1c2VyQGV4YW1wbGUuY29tIiwicGFzc3dvcmQiOiI0ODJjODExZGE1ZDViNGJjNmQ0OTdmZmE5ODQ5MWUzOCIsInJvbGUiOiJjdXN0b21lciIsImRlbHV4ZVRva2VuIjoiIiwibGFzdExvZ2luSXAiOiJ1bmRlZmluZWQiLCJwcm9maWxlSW1hZ2UiOiIvYXNzZXRzL3B1YmxpYy9pbWFnZXMvdXBsb2Fkcy9kZWZhdWx0LnN2ZyIsInRvdHBTZWNyZXQiOiIiLCJpc0FjdGl2ZSI6dHJ1ZSwiY3JlYXRlZEF0IjoiMjAyNS0wMy0wNSAwOTowMjo0Ni44ODAgKzAwOjAwIiwidXBkYXRlZEF0IjoiMjAyNS0wMy0wNSAxMDowMDoxOC41MjkgKzAwOjAwIiwiZGVsZXRlZEF0IjpudWxsfSwiaWF0IjoxNzQxMTc3NjM0fQ.iM5x443SVEo1AJXdf8QV3G5lGJigfnqYkfN3SAxgvSkFTpzxX5EkCnapqHGfmrz7lv237z9tQ7BR3LILS5nj7lz4MmTK_TVJjzVLIe0HsToxCibFvIT_dUYd6jMLh6NGNN0R_NSmKxm9uKuFbE8TZkmTrXwV8YI0UF47QOucvwI,3 to 9,7
I,cookies[1].secure,False,3 to 9,7
I,cookies[0].secure,False,1 to 9,9
I,cookies[3].path,/,3 to 9,7
I,cookies[2].httpOnly,False,3 to 9,7
I,cookies[3].domain,slaying.ddns.net,3 to 9,7
I,cookies[0].domain,slaying.ddns.net,1 to 9,9
I,local_storage.token,eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjIsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ1c2VyQGV4YW1wbGUuY29tIiwicGFzc3dvcmQiOiI0ODJjODExZGE1ZDViNGJjNmQ0OTdmZmE5ODQ5MWUzOCIsInJvbGUiOiJjdXN0b21lciIsImRlbHV4ZVRva2VuIjoiIiwibGFzdExvZ2luSXAiOiJ1bmRlZmluZWQiLCJwcm9maWxlSW1hZ2UiOiIvYXNzZXRzL3B1YmxpYy9pbWFnZXMvdXBsb2Fkcy9kZWZhdWx0LnN2ZyIsInRvdHBTZWNyZXQiOiIiLCJpc0FjdGl2ZSI6dHJ1ZSwiY3JlYXRlZEF0IjoiMjAyNS0wMy0wNSAwOTowMjo0Ni44ODAgKzAwOjAwIiwidXBkYXRlZEF0IjoiMjAyNS0wMy0wNSAxMDowMDoxOC41MjkgKzAwOjAwIiwiZGVsZXRlZEF0IjpudWxsfSwiaWF0IjoxNzQxMTc3NjM0fQ.iM5x443SVEo1AJXdf8QV3G5lGJigfnqYkfN3SAxgvSkFTpzxX5EkCnapqHGfmrz7lv237z9tQ7BR3LILS5nj7lz4MmTK_TVJjzVLIe0HsToxCibFvIT_dUYd6jMLh6NGNN0R_NSmKxm9uKuFbE8TZkmTrXwV8YI0UF47QOucvwI,3 to 9,7
I,cookies[3].secure,False,3 to 9,7
I,cookies[1].value,dismiss,3 to 9,7
I,cookies[1].path,/,3 to 9,7
I,cookies[0].path,/,1 to 9,9
I,cookies[1].httpOnly,False,3 to 9,7
I,cookies[1].sameSite,Lax,3 to 9,7
I,cookies[0].expires,1772713628.0,1 to 9,9
I,cookies[0].sameSite,Lax,1 to 9,9
I,cookies[2].name,cookieconsent_status,3 to 9,7
I,cookies[1].expires,1772713631.0,3 to 9,7
I,cookies[3].name,token,3 to 9,7
I,cookies[2].value,dismiss,3 to 9,7
I,cookies[3].sameSite,Lax,3 to 9,7
I,cookies[2].secure,False,3 to 9,7
I,cookies[0].name,language,1 to 9,9
I,cookies[2].path,/,3 to 9,7
I,cookies[1].name,welcomebanner_status,3 to 9,7
I,cookies[1].domain,slaying.ddns.net,3 to 9,7
I,cookies[0].httpOnly,False,1 to 9,9
I,cookies[3].expires,1741206433.0,3 to 9,7
I,session_data.walletTotal,888,8 to 9,2
I,cookies[3].httpOnly,False,3 to 9,7
I,cookies[2].domain,slaying.ddns.net,3 to 9,7
